midwest,month,northeast,south,west,year
23.5,1,13.3,69.8,35.8,2006
21.3,2,14,68.5,38,2006
26.1,3,12.7,87.6,42.8,2006
26.6,4,17.2,77.9,38.6,2006
25.5,5,13.7,78,41.7,2006
29.3,6,15.5,86.5,48.2,2006
27.2,7,14.8,85.1,36.6,2006
30.4,8,16.1,82.1,41.9,2006
30.5,9,18,86.2,46.1,2006
29.4,10,14.4,87.9,40.8,2006
26.4,11,14,82.6,35.8,2006
29,12,15.3,94.5,42.3,2006
17.7,1,11.9,67.7,30,2007
15.3,2,9.7,62.3,25.2,2007
17,3,9.7,64.3,31.9,2007
17.7,4,9.2,63.7,28.3,2007
19.4,5,11.2,66.1,32.9,2007
19.1,6,14.5,67.1,30.4,2007
19.3,7,11,67.3,31.5,2007
16.6,8,14.1,70,36.2,2007
22.9,9,12.2,57.2,30.9,2007
19.4,10,16.6,62.1,28,2007
19.9,11,10.9,56.6,31.3,2007
18.4,12,13.8,61.8,32.7,2007
12.9,1,8.7,48.4,23.6,2008
15.2,2,7.2,48.1,16.5,2008
12.6,3,7,47.1,23.1,2008
11.2,4,8.6,40.6,19,2008
15.2,5,11.5,48.5,21.3,2008
17.3,6,7.6,51.4,23.4,2008
11.6,7,11.1,45.7,23,2008
16,8,8.9,50,19.6,2008
22.1,9,10.4,47.2,24.5,2008
15.6,10,7.8,48,22.8,2008
16.2,11,9.4,43.3,22.5,2008
12.3,12,11.4,49,25.1,2008
8,1,6.2,27.8,12.6,2009
7.8,2,6.9,26.9,14.8,2009
8.3,3,4.8,32.2,16.8,2009
9.1,4,10.9,31.7,13.8,2009
10,5,6.7,35,16.4,2009
10.3,6,9.4,34.3,16.4,2009
9.4,7,8.6,31.4,17,2009
11.9,8,6.3,41.3,14.5,2009
9.9,9,8.9,29.8,15.9,2009
9,10,9,32.3,17.2,2009
13.1,11,8.5,33.7,17.3,2009
12.3,12,8.1,37.2,14.8,2009
5.5,1,5.8,21.2,13.9,2010
5.7,2,5.6,23,11.2,2010
5.7,3,4.4,26,12.5,2010
7.9,4,7.2,32.1,10.5,2010
10,5,7.5,26.2,14.9,2010
14.8,6,7.7,33.9,21.2,2010
8.8,7,5.8,23.8,9.8,2010
9.3,8,7.9,26.6,10.9,2010
8.8,9,7.9,26.7,13.2,2010
10.7,10,8.2,25.9,10,2010
11,11,6.5,22.4,8.4,2010
8.7,12,5.9,28.9,11.2,2010
6.3,1,4.2,17.3,7.2,2011
6.4,2,4.4,23.1,8.1,2011
6.5,3,4.5,25.4,7.4,2011
7.4,4,5.2,21.9,7.7,2011
8.7,5,5.6,20,11.1,2011
9.6,6,7.5,24.6,8.8,2011
9.7,7,5.8,29.6,8.5,2011
11.8,8,6.3,26.9,12.4,2011
8.6,9,8.9,26.5,10.7,2011
9,10,7.7,25.6,9.8,2011
8.8,11,4.7,26,10.5,2011
10,12,7.8,28.6,11.9,2011
5.8,1,5.8,18.8,6,2012
6.4,2,5.3,19.9,7.4,2012
8.4,3,4.8,22.1,9.1,2012
8.3,4,6.1,26.1,11.9,2012
8.5,5,6.8,24.5,10.1,2012
9,6,7.2,27.9,10.9,2012
11.8,7,8,26.7,11.7,2012
11.3,8,6.1,30.9,16.5,2012
10.3,9,6.6,28.7,13,2012
11.3,10,6.3,36.6,13.5,2012
8.9,11,6.2,28.7,14,2012
10.4,12,5.4,33.7,15.3,2012
5.5,1,4.6,24.8,12.5,2013
7.1,2,4.1,26.4,12.2,2013
7.9,3,6.5,29.2,18.2,2013
10,4,4.7,27.9,12,2013
9.3,5,4.8,31.3,12.9,2013
9.4,6,6.4,34.1,16.1,2013
10.4,7,7.8,32.3,16.5,2013
11.4,8,6.9,38.2,15.1,2013
12.3,9,7.3,35.8,14.3,2013
12.6,10,6.4,38.9,15.7,2013
12.5,11,7.3,33.5,17.5,2013
12.2,12,8.5,37,16.1,2013
8.2,1,6.2,29.2,12.6,2014
10.2,2,4.1,31.8,13.5,2014
9.8,3,4.4,37.7,15.8,2014
9.2,4,5.5,34.2,15,2014
12.2,5,10,33.7,17.5,2014
13.1,6,7,36.2,15.2,2014
12.9,7,5.9,35.8,15.9,2014
